"","name","scientificName","genus","species","decimalLongitude","decimalLatitude","country"
"152","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.51667,-24.7,"South Africa"
"153","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",20.56667,-26.3,"South Africa"
"154","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",21.1,-23.7,"Botswana"
"155","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"156","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.51667,-24.7,"South Africa"
"157","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.41667,-24.51667,"South Africa"
"158","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"159","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"160","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"161","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.45,-24.6,"South Africa"
"162","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.45,-24.6,"South Africa"
"163","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"164","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",21.36667,-26.28333,"Botswana"
"165","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",23.05,-31.7,"South Africa"
"166","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",22.28333,-25.38333,"Botswana"
"167","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.13333,-24.56667,"South Africa"
"168","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.25,-24.73333,"South Africa"
"169","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",30.31667,-23.23333,"South Africa"
"170","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"171","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",30.33333,-23.23333,"South Africa"
"172","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",23.06667,-19.45,"Botswana"
"173","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"Botswana"
"174","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.56667,-24.65,"South Africa"
"175","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.13333,-24.5,"South Africa"
"176","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"Namibia"
"177","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"Namibia"
"178","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"Namibia"
"179","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"Namibia"
"180","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"181","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",28.8,-28.13333,"South Africa"
"182","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",29.28333,-24.96667,"South Africa"
"183","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",29.28333,-24.96667,"South Africa"
"184","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",18.21667,-31.5,"South Africa"
"185","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",25.11667,-20.5,"Botswana"
"186","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.45,-24.6,"South Africa"
"187","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.51667,-24.7,"South Africa"
"188","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.51667,-24.7,"South Africa"
"189","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.45,-24.6,"South Africa"
"190","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.56667,-24.65,"South Africa"
"191","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.2,-24.56667,"South Africa"
"192","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"193","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.55,-24.61667,"South Africa"
"194","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.51667,-24.7,"South Africa"
"195","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.56667,-24.65,"South Africa"
"196","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"197","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.41667,-24.51667,"South Africa"
"198","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.51667,-24.7,"South Africa"
"199","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"Botswana"
"200","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"201","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
